#{"t_start": 1777964840.404338, "env_id": "None"}
r,l,t
1527.366023,500,292.07996
1257.187898,343,293.13687
525.830096,180,293.710845
1040.074216,298,294.81668
829.90729,298,295.734147
510.463239,216,296.536955
2133.146118,500,299.786842
684.384471,282,300.708824
1942.71445,500,302.296912
1332.385876,500,303.67201
226.657802,226,304.424324
419.353818,152,304.90252
1029.753604,500,308.277182
1256.059577,500,309.815
1284.192304,374,311.182636
1722.043506,500,312.889967
1483.210799,475,316.141573
1216.042167,318,317.139142
1977.226877,500,318.761819
534.028083,215,319.330347
1549.406986,500,321.084146
1534.94349,492,324.30322
465.916682,231,325.000562
116.741111,72,325.168822
1656.786196,500,327.046555
866.38312,255,327.992732
1342.320513,500,329.746554
1870.01242,500,333.193896
1014.017748,300,334.29729
342.04196,168,334.763311
1834.46788,500,336.584799
1341.666571,500,338.261045
760.258132,240,338.957424
406.09292,500,342.059928
1880.884862,500,343.774125
867.607108,235,344.62394
1744.137548,500,352.029773
1808.747536,480,353.601117
1253.362811,423,356.769307
1230.059513,433,358.092787
1890.308231,500,359.834235
1676.881222,466,361.466943
314.336778,124,361.895465
1718.32465,500,365.112653
2016.728274,500,366.91766
256.836651,96,367.159858
1643.583456,500,368.961637
1986.698286,500,370.828024
783.9481,423,373.851042
1516.125133,500,375.451602
1939.808821,500,376.935991
1832.647579,500,378.651578
1720.85806,500,381.849052
1378.07158,410,383.12631
1498.613134,500,384.926618
1744.457034,500,386.593187
1781.328738,500,389.921044
883.658396,280,390.865355
1566.391328,500,392.467194
1730.875008,500,394.092466
1994.70335,500,395.838643
1137.509137,500,399.117484
708.305515,335,400.205755
816.085517,375,401.254203
1636.052749,481,402.929887
276.005148,295,403.929425
1982.204821,500,407.428116
1198.252472,349,408.626535
1651.411916,500,410.350219
1716.878167,500,412.068037
547.176683,228,412.781519
1822.068504,500,415.906357
2021.788051,500,417.613505
1464.429354,500,419.253846
439.632195,160,419.850946
1050.734344,500,421.523298
1921.727724,500,425.001672
1821.576343,500,426.516435
1104.602316,352,427.683784
2017.830567,500,429.37915
1996.257428,500,432.844556
1826.393971,500,434.5907
1742.754447,440,435.979336
2051.349152,500,437.557329
1075.861746,311,438.630775
1692.854332,500,442.046826
1950.635327,500,443.607303
1285.492183,500,445.182187
1036.512941,348,446.394201
1880.249798,500,449.622554
1313.901307,500,451.25147
1281.956004,375,452.572116
1882.120246,500,454.304349
1565.70669,405,461.020555
561.770479,195,463.395866
1672.377694,500,465.03407
661.122902,234,465.842108
1774.08787,500,467.53573
1969.235364,500,469.270714
1770.769726,500,472.65661
1734.601538,500,474.349129
1144.252131,332,475.31627
1888.550855,500,477.037523
1201.07145,500,480.514658
779.971546,500,482.182867
969.341081,260,482.97593
667.338508,500,484.425616
491.257127,219,485.00441
836.078472,245,485.797196
517.101708,378,488.73564
1856.556679,500,490.493413
1414.773847,382,491.900144
1947.292412,500,493.391145
1777.634954,500,495.15802
456.16516,156,497.366527
822.377179,369,498.578171
345.279535,129,498.908142
1523.523433,500,500.615519
355.214758,441,501.889668
1876.689326,500,505.128686
330.40083,201,505.804797
1287.953038,500,507.350077
1956.193596,500,508.803874
1644.65968,500,510.623843
1404.303576,401,513.645557
1481.749113,500,515.122352
1527.217346,500,516.846398
1751.013848,500,518.570155
1219.294749,432,519.798867
1581.595539,479,523.132464
554.109343,222,523.942639
859.468811,240,524.72974
1823.230101,500,526.336728
1481.921439,500,527.794683
1221.613903,325,530.594571
1603.897282,500,532.400617
2025.027694,500,534.176807
1909.764362,500,535.982202
837.282691,264,536.889925
1643.664588,399,539.818337
1578.907978,500,541.548394
1808.35034,500,543.317128
1700.874324,500,544.924973
1021.389537,309,547.561412
1428.465022,500,549.035145
693.310583,237,549.8674
2236.60587,500,551.454181
2038.022862,500,553.127491
1664.288084,500,556.471747
1448.376127,500,558.107022
2005.184386,500,559.732634
703.811958,285,560.70083
654.692392,254,561.471522
365.187382,128,561.902185
447.552344,500,570.455954
1408.878239,500,572.01469
397.092358,186,572.738513
886.789344,241,573.436997
1879.599023,500,575.073828
341.645004,124,575.455264
1086.149937,346,578.436787
896.194101,246,579.127858
600.281559,187,579.760653
1236.706615,370,580.956482
1863.014756,500,582.611128
1835.725265,500,584.351939
1132.909718,500,587.828629
1472.298695,382,589.006066
1247.906291,284,589.781144
1850.068413,500,591.343109
1663.48651,500,594.691431
1797.620259,500,596.378096
1245.678435,394,597.541358
1379.912875,430,599.039196
2132.407146,500,600.891795
891.137622,332,603.637102
112.355379,69,603.883979
823.046566,276,604.794905
1680.50847,500,606.446313
1239.720135,387,607.553974
1781.518509,490,609.305815
1858.046109,500,612.978546
1083.078903,349,614.237495
1901.776437,475,615.715056
2229.997429,500,617.184905
2198.793612,500,620.783269
1034.597851,280,621.652033
1097.82825,352,622.770133
1788.962061,500,624.193876
1018.427655,359,625.283284
1562.14913,500,628.860357
1795.071779,500,630.571701
583.028194,277,631.243381
1976.944396,500,633.103339
1158.111887,342,634.17574
1914.682213,500,637.572303
1470.901313,500,639.187451
317.223034,157,639.716005
1841.902879,500,641.386302
1482.541746,500,643.033087
1745.545217,500,646.411977
846.667316,303,647.2353
758.170417,500,649.016157
1864.903989,500,650.757237
1428.017896,500,653.966052
2012.04985,500,655.736331
628.104928,500,657.242302
1912.157594,500,658.816976
1097.750955,322,659.816129
274.809632,114,660.201819
1988.84656,500,663.341897
930.66948,277,664.384202
2091.377008,500,666.111309
1813.571597,500,667.744027
1991.087072,500,671.082999
1715.614914,500,678.912998
2118.885281,500,680.570391
1981.021476,500,682.330917
1440.504633,377,683.734036
2020.537878,500,687.107126
1979.239351,500,688.858685
229.836872,152,689.198747
1830.485328,500,690.964176
1255.730673,375,692.267437
500.504417,197,694.58657
1222.794486,500,696.158074
990.381394,280,697.057859
1947.264822,500,698.811774
1557.417026,383,699.906274
1117.652279,354,702.694169
1143.640456,385,703.897067
1521.542934,500,705.357836
1699.267136,500,707.140109
1716.47336,418,708.55026
1980.546781,500,712.003961
1413.148151,486,713.435188
528.158812,210,714.186347
831.162371,252,714.921279
1761.097077,500,716.509758
735.850767,213,717.072216
1811.729383,500,720.415027
2109.65808,500,722.042921
1387.658637,500,723.620929
1864.779454,500,725.221571
1196.344169,328,728.100232
1823.228443,500,729.723653
549.326484,182,730.353474
1845.583853,500,731.83569
1826.801128,500,733.421195
2035.099323,482,736.69063
647.591144,228,737.335746
2107.315738,500,739.046699
1664.186847,500,740.881013
1916.412303,500,744.051187
1919.49216,500,745.774673
629.866185,226,746.500283
1972.866441,500,748.050052
1028.41737,292,749.028459
896.667724,240,749.80888
923.871183,303,752.465285
1384.691441,500,753.868992
966.202865,257,754.680833
789.719304,309,755.547458
1590.319804,500,757.08915
1044.115393,500,760.504093
595.839485,195,761.025404
1568.911333,500,762.609056
353.010768,148,762.983268
957.176657,341,764.108357
1762.007131,500,765.695249
1892.407653,500,769.036229
2104.989124,500,770.843098
1063.280601,500,772.454463
1535.721081,500,774.245548
1603.463105,500,777.637768
121.019253,86,777.898658
1336.326482,500,779.392606
1839.997866,500,785.911607
1344.924673,500,787.233486
2046.00403,500,790.898145
1805.491363,500,792.611618
748.089913,206,793.112911
1283.887396,500,794.856364
1375.727714,358,795.955609
364.551872,123,796.370033
2121.553408,500,799.625767
1400.023179,500,801.220612
2010.040976,500,803.019925
842.331428,253,803.899249
2031.296876,500,807.266602
811.404709,256,808.088627
1643.602737,443,809.511914
1853.470603,500,810.939345
791.562217,334,811.884624
619.221167,203,812.590814
1620.216013,500,815.68787
549.02621,230,816.47007
1544.224036,500,818.173609
1684.675675,500,819.898651
1878.194467,500,821.506738
265.35611,108,823.518918
1679.754407,500,825.08639
966.749804,500,826.678782
1720.478881,500,828.448696
1549.717428,500,830.203921
947.836462,259,832.737883
1830.601617,500,834.492241
1158.997075,339,835.43776
2030.977133,500,837.065481
1822.827517,500,840.426412
1295.891124,500,841.940377
684.798475,277,842.764479
1993.909192,500,844.392732
2053.678521,500,845.965909
1711.961081,500,849.214304
1321.283291,435,850.719625
1497.151824,500,852.330022
2136.647585,500,854.06529
1483.907149,500,857.456388
367.024147,169,858.025229
264.331817,102,858.343369
748.817172,224,858.957415
1188.669566,407,860.350149
645.740861,210,860.897804
2094.059222,500,862.625454
1202.14565,407,865.517097
608.482269,206,866.221424
843.53033,281,867.039429
1988.684944,500,868.68837
2017.979279,500,870.575195
1619.234989,500,873.939685
781.848917,500,875.468001
632.910862,264,876.363658
293.558505,124,876.781225
1374.713777,500,878.475853
886.059062,259,879.197042
1446.5429,500,882.422901
679.528879,303,883.332135
734.605502,247,884.210103
895.255601,239,884.887291
1926.910019,500,892.679723
707.027458,211,893.233466
1944.92235,500,896.782531
1429.39442,490,898.460368
1846.632898,500,899.851154
511.765644,180,900.450264
2161.084847,500,901.920725
1809.156106,500,905.060638
1351.23769,333,906.282754
398.0435,158,906.72711
348.103542,122,907.026564
1632.161446,463,908.696913
1851.183046,500,910.129798
1421.084563,448,913.226532
476.384291,148,913.745893
2176.731026,500,915.354004
329.264059,131,915.77132
1092.643974,408,917.041571
1357.863743,378,918.313932
1829.322163,500,921.573225
1646.101507,500,923.073064
507.37612,500,924.71551
614.779123,205,925.246633
614.879054,229,926.036291
1359.234816,500,929.401859
1801.388758,450,930.845367
1728.888718,500,932.598999
1039.861252,274,933.391157
1941.14859,500,935.037953
1394.151243,398,937.992296
1668.249086,443,939.362739
1799.061033,500,940.936109
1516.93913,371,942.095141
2137.723888,500,944.096506
1765.071842,500,947.394172
2004.34954,500,949.061966
1970.273851,500,950.728444
1785.036179,500,952.395192
1840.630869,500,955.820127
2058.625321,500,957.271913
1390.913504,403,958.808467
1864.669069,500,960.316883
951.361124,455,963.253309
95.159305,112,963.598055
546.083416,276,964.451099
1850.540456,500,966.104056
1582.082916,500,967.776659
510.057492,193,968.386118
1620.109081,500,971.681167
1504.015419,500,973.298564
1092.482768,290,974.276202
1954.625046,493,975.736616
1297.35753,500,977.211987
1053.607673,298,979.848547
1914.542405,500,981.175115
509.24849,178,981.763256
1545.210202,440,982.979462
1962.247212,500,984.666415
1899.287952,500,988.035994
705.513801,269,988.80298
1025.614917,301,989.731121
383.376551,204,990.4108
868.487447,264,991.106933
294.057947,113,991.438891
1638.963351,500,999.723454
130.317468,94,1001.714303
1724.346627,500,1003.358193
1740.850425,500,1004.964787
1610.018972,500,1006.546602
508.194812,477,1007.8265
1333.648245,349,1010.611393
1705.065529,500,1012.126128
781.482818,250,1012.858257
737.132469,238,1013.548559
1015.901789,321,1014.59069
1555.472562,500,1017.767773
1468.303067,500,1019.193348
1605.768585,453,1020.857523
1848.74492,500,1022.550672
1135.436688,500,1024.004722
1196.207971,500,1027.259826
531.340551,237,1028.024959
1565.506203,500,1029.680454
202.025454,93,1030.015633
1770.726454,500,1031.299708
505.915943,207,1031.996379
1606.168582,500,1035.226194
1554.4067,500,1036.88189
682.75722,215,1037.513303
623.506397,228,1038.258573
1529.244602,500,1039.670022
608.0213,227,1042.191959
1424.974586,500,1043.573326
1687.339795,500,1045.158747
1619.558893,500,1046.795309
709.742249,201,1047.353853
1878.271444,500,1050.524199
1784.284452,500,1052.109954
1666.762769,500,1053.491226
1728.448689,500,1055.051925
1596.533128,500,1058.47117
948.599164,263,1059.098279
1919.933417,500,1060.828712
1358.596286,461,1062.355719
704.49296,235,1063.055096
1879.038023,500,1066.416906
1479.768527,500,1067.784463
351.696156,136,1068.251326
2040.864533,500,1069.871762
1161.384697,396,1071.054344
1081.072669,411,1074.054511
1340.680542,370,1075.117732
1481.62737,500,1076.787547
1932.701989,500,1078.54399
2006.643418,500,1080.336323
2076.995788,500,1083.468249
775.311836,273,1084.335133
756.773114,316,1085.132258
536.15835,176,1085.724606
918.822736,267,1086.631061
1537.508,500,1088.176846
1652.620703,500,1091.45512
1325.736553,407,1092.856391
832.357752,291,1093.718377
1112.930329,316,1094.844994
1770.24068,500,1096.399146
807.793315,296,1098.873752
881.456334,300,1105.709522
1756.323082,500,1107.371179
1367.219207,371,1108.790951
332.02909,154,1109.181681
794.156148,308,1110.209011
1968.10331,500,1113.367781
910.411892,272,1114.332538
329.069577,175,1114.795658
1792.749336,500,1116.481611
259.913308,232,1117.117052
1510.038799,500,1118.778023
726.212128,237,1121.115933
1396.570661,500,1122.798662
879.174456,266,1123.605275
1114.358739,318,1124.673465
1958.260914,500,1126.470971
584.889493,205,1127.043519
1627.807394,500,1130.42809
855.283702,261,1131.402493
1711.172399,500,1132.980855
1596.20048,500,1134.702968
1732.621691,500,1136.268761
1477.654653,500,1139.409402
1710.775576,500,1140.966503
1099.135595,314,1141.977023
372.630043,163,1142.549466
804.501935,235,1143.302967
513.553745,193,1143.895178
1459.494638,500,1147.063564
715.437855,206,1147.822227
711.360683,231,1148.611611
603.757345,206,1149.113069
2017.422667,500,1150.862184
2038.757373,500,1152.465623
1884.581819,462,1155.558882
1983.295997,500,1157.242505
2118.80055,500,1158.801923
624.268243,323,1159.911099
918.475694,384,1162.879304
178.145374,93,1163.121523
759.097745,229,1163.861029
391.898726,170,1164.444314
1448.036641,500,1165.990915
1972.814237,500,1167.682583
1845.736415,500,1170.970925
666.739738,231,1171.676488
738.725115,247,1172.443483
1803.979974,500,1174.112951
1089.11605,500,1175.562807
1563.000527,500,1177.140722
1208.292843,500,1180.508304
1833.153727,500,1182.17659
1339.752981,500,1183.586489
2036.924749,500,1185.234093
1633.536873,500,1188.503736
839.021749,301,1189.348072
494.187784,183,1189.996827
1500.68312,500,1191.497433
1759.549766,500,1193.02595
946.659051,276,1195.58872
1141.773075,422,1196.962515
1004.275238,302,1197.994365
2061.024185,500,1199.447604
1800.38932,500,1201.136675
1618.005801,500,1204.573857
1078.613322,500,1211.735465
1836.140531,500,1213.205703
1978.423926,500,1214.855834
119.872422,66,1215.017927
1488.247274,480,1218.38834
1747.603817,500,1219.760439
1751.344296,500,1221.186748
754.956478,257,1222.093573
1936.884116,500,1223.571099
380.559587,157,1225.718816
2159.158717,500,1227.43972
665.537989,197,1228.168049
857.541413,358,1229.07189
779.300207,245,1229.969364
1231.655716,333,1231.005568
520.676446,209,1231.646363
1518.558163,483,1234.80717
1992.62109,500,1236.643555
49.306306,85,1236.855353
869.051897,301,1237.780412
1704.839732,500,1239.225243
1768.750078,500,1242.575354
748.32959,264,1243.239246
2125.097245,500,1244.885806
2125.671458,500,1246.567939
783.0455,297,1247.356196
873.605635,500,1250.593118
1777.923291,500,1252.164423
1377.737574,500,1253.476264
1097.968874,334,1254.610006
989.123026,292,1255.429682
1500.600126,470,1258.856744
1621.967488,466,1260.521393
935.434409,500,1261.95504
1692.002125,500,1263.526117
878.65845,331,1266.357692
1038.569816,323,1267.235492
1838.084357,500,1268.971228
1848.462707,500,1270.639167
2073.489617,500,1272.292327
717.236829,243,1274.755594
1176.947536,353,1275.790775
1176.012046,349,1276.800167
202.99769,106,1277.117055
1939.421308,500,1278.669602
1903.878844,500,1280.297024
1678.199322,500,1283.567395
1423.185275,399,1284.786419
583.287774,229,1285.40283
812.599685,294,1286.477702
1942.949772,500,1287.901381
661.836989,187,1288.510549
1593.625112,500,1291.606343
1410.857534,500,1293.217682
1742.516634,500,1295.011459
